"Date","Date_UTC","PoolName","Currency","Rate","Balance","Paid","Earnings","Value","Balance_Sat","Paid_Sat","Earnings_Sat","Value_Sat"
"07/22/2021 18:24:10","07/22/2021 18:24:10","2Miners","ETC","744.87895716946","0.000190136","0","0.000190136","0.000190136","26","0","26","26"
"07/22/2021 18:54:19","07/22/2021 18:54:19","2Miners","ETC","745.434215430488","0.000253501","0","0.000253501","0.000063365","34","0","34","9"
"07/22/2021 20:25:22","07/22/2021 20:25:22","ZergPool","BTC","1","0.00000024","0","0.00000002","0.00000002","24","0","2","2"
"07/22/2021 20:55:31","07/22/2021 20:55:31","ZergPool","BTC","1","0.00000055","0","0.00000033","0.00000031","55","0","33","31"
"07/22/2021 21:25:44","07/22/2021 21:25:44","ZergPool","BTC","1","0.00000083","0","0.00000061","0.00000028","83","0","61","28"
"07/22/2021 21:55:54","07/22/2021 21:55:54","ZergPool","BTC","1","0.00000138","0","0.00000116","0.00000055","138","0","116","55"
"07/22/2021 22:26:01","07/22/2021 22:26:01","MiningPoolHub","ETC","747.94315632012","0.009562","0","0.00338477","0.00338477","1278","0","453","453"
"07/22/2021 22:26:01","07/22/2021 22:26:01","ZergPool","BTC","1","0.00000146","0","0.00000124","0.00000008","146","0","124","8"
"07/22/2021 22:56:12","07/22/2021 22:56:12","ZergPool","BTC","1","0.00000153","0","0.00000131","0.00000007","153","0","131","7"
"07/22/2021 23:26:24","07/22/2021 23:26:24","2Miners","ETC","743.770918557084","0.000570376","0","0.000570376","0.000316875","77","0","77","43"
"07/22/2021 23:26:24","07/22/2021 23:26:24","ZergPool","BTC","1","0.00000223","0","0.00000201","0.00000070","223","0","201","70"
"07/22/2021 23:56:32","07/22/2021 23:56:32","ZergPool","BTC","1","0.00000296","0","0.00000274","0.00000073","296","0","274","73"
"07/23/2021 00:26:43","07/23/2021 00:26:43","Nicehash","BTC","1","0.00002398","0","0.00001195","0.00001195","2398","0","1195","1195"
"07/23/2021 00:26:43","07/23/2021 00:26:43","ZergPool","BTC","1","0.00000324","0","0.00000302","0.00000028","324","0","302","28"
"07/23/2021 00:56:50","07/23/2021 00:56:50","ZergPool","BTC","1","0.00000334","0","0.00000312","0.00000010","334","0","312","10"
"07/23/2021 01:27:02","07/23/2021 01:27:02","ZergPool","BTC","1","0.00000366","0","0.00000344","0.00000032","366","0","344","32"
"07/23/2021 02:27:17","07/23/2021 02:27:17","ZergPool","BTC","1","0.00000391","0","0.00000369","0.00000025","391","0","369","25"
"07/23/2021 02:57:29","07/23/2021 02:57:29","ZergPool","BTC","1","0.00000436","0","0.00000414","0.00000045","436","0","414","45"
"07/23/2021 03:27:39","07/23/2021 03:27:39","ZergPool","BTC","1","0.00000439","0","0.00000417","0.00000003","439","0","417","3"
"07/23/2021 03:57:50","07/23/2021 03:57:50","ZergPool","BTC","1","0.00000503","0","0.00000481","0.00000064","503","0","481","64"
"07/23/2021 04:28:03","07/23/2021 04:28:03","ZergPool","BTC","1","0.00000507","0","0.00000485","0.00000004","507","0","485","4"
"07/23/2021 04:58:13","07/23/2021 04:58:13","ZergPool","BTC","1","0.00000552","0","0.00000530","0.00000045","552","0","530","45"
"07/23/2021 05:28:20","07/23/2021 05:28:20","ZergPool","BTC","1","0.00000555","0","0.00000533","0.00000003","555","0","533","3"
"07/23/2021 05:58:30","07/23/2021 05:58:30","ZergPool","BTC","1","0.00000573","0","0.00000551","0.00000018","573","0","551","18"
"07/23/2021 06:28:44","07/23/2021 06:28:44","ZergPool","BTC","1","0.00000579","0","0.00000557","0.00000006","579","0","557","6"
"07/23/2021 06:58:53","07/23/2021 06:58:53","ZergPool","BTC","1","0.00000629","0","0.00000607","0.00000050","629","0","607","50"
"07/23/2021 07:29:02","07/23/2021 07:29:02","ZergPool","BTC","1","0.00000721","0","0.00000699","0.00000092","721","0","699","92"
"07/23/2021 07:59:29","07/23/2021 07:59:29","ZergPool","BTC","1","0.00000831","0","0.00000809","0.00000110","831","0","809","110"
